# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0802ED48	0x0802ED77	thumb	list_remove
0x0802ED78	0x0802ED7F	thumb	list_init
0x0802ED80	0x0802ED8D	thumb	actlist_isEmpty
0x0802ED90	0x0802ED97	thumb	actlist_init
0x0802ED98	0x0802EDAF	thumb	actlist_insertHead
0x0802EDB0	0x0802EDC7	thumb	actlist_insertTail
0x0802EDC8	0x0802EDDF	thumb	actlist_insertBefore
0x0802EDE0	0x0802EDF7	thumb	actlist_insertAfter
0x0802EDF8	0x0802EE13	thumb	actlist_takeHead
0x0802EE14	0x0802EE2F	thumb	actlist_takeTail
0x0802EE30	0x0802EE7D	thumb	actlist_remove
0x0802EE80	0x0802EE87	thumb	actlist_clear
0x0802EE88	0x0802EF39	thumb	sortByCheckpoint
0x0802EF3C	0x0802F163	thumb	collideActiveActiveFast
0x0802F164	0x0802F223	thumb	collideActiveActive
0x0802F224	0x0802F443	thumb	collideActivePassiveFast
0x0802F444	0x0802F4FD	thumb	collideActivePassive
0x0802F500	0x0802F523	thumb	col_addActive
0x0802F524	0x0802F547	thumb	col_addPassive
0x0802F548	0x0802F54F	thumb	col_clearLists
0x0802F550	0x0802F5BD	thumb	col_collide
0x0802F5C0	0x00000000	thumb	sub_802F5C0
0x0802F5F4	0x00000000	thumb	sub_802F5F4
0x0802F608	0x00000000	thumb	sub_802F608
0x0802F61C	0x00000000	thumb	sub_802F61C
0x0802F638	0x00000000	thumb	sub_802F638
0x0802F674	0x00000000	thumb	sub_802F674
0x0802F6BC	0x00000000	thumb	oam_renderCell
0x0802FA1C	0x0802FC47	thumb	oam_renderCellData
0x0802FC48	0x0802FCC5	thumb	oam_802FC48
0x0802FCC8	0x0802FD3B	thumb	oam_init
0x0802FD3C	0x0802FD93	thumb	oam_update
0x0802FD94	0x0802FDF7	thumb	oam_reset
0x0802FDF8	0x0802FE23	thumb	oam_dmaCopyToHw
0x0802FE24	0x0802FE4B	thumb	oam_cpuCopyToHw
0x0802FE4C	0x0802FE57	thumb	oam_802FE4C
0x0802FE58	0x0802FEBF	thumb	oam_renderMipmapCellDataUniform
0x0802FEC0	0x0802FF2D	thumb	oam_renderMipmapCellData
0x0802FF30	0x0802FF55	thumb	oam_renderCellDataSimple
0x0802FF58	0x0802FF8F	thumb	sub_802FF58
0x0802FF90	0x0802FFDD	thumb	oam_bufferCellAffineMtx
0x0802FFE0	0x08030003	thumb	oam_renderAllCells
0x08030004	0x00000000	thumb	sub_8030004
0x080301A8	0x00000000	thumb	sub_80301A8
0x08030224	0x00000000	thumb	sub_8030224
0x08030278	0x00000000	thumb	sub_8030278
0x08030280	0x00000000	thumb	sub_8030280
0x0803028C	0x00000000	thumb	nullsub_10
0x08030290	0x00000000	thumb	sub_8030290
0x080302A8	0x0803039B	thumb	dmaq_process
0x0803039C	0x080303BF	thumb	dmaq_init
0x080303C0	0x080303E1	thumb	dmaq_reset
0x080303E4	0x08030431	thumb	dmaq_enqueue
0x08030434	0x0803043B	thumb	dmaq_getVBlankDmaQueue
