# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x08034FA8	thumb	sub_8034FA8
0x080350AC	thumb	sub_80350AC
0x08035618	thumb	sub_8035618
0x08035658	thumb	sub_8035658
0x080356D0	thumb	sub_80356D0
0x080357E8	thumb	sub_80357E8
0x08035B48	thumb	sub_8035B48
0x08035CF4	thumb	sub_8035CF4
0x08035D40	thumb	sub_8035D40
0x0803603C	thumb	sub_803603C
0x0803608C	thumb	sub_803608C
0x0803615C	thumb	sub_803615C
0x0803616C	thumb	SunsetWilds_HandlePalettes_803616C
0x08036520	thumb	sub_8036520
0x08036570	thumb	sub_8036570
0x080365B0	thumb	sub_80365B0
0x08036608	thumb	sub_8036608
0x0803670C	thumb	sub_803670C
0x08036D1C	thumb	sub_8036D1C
0x08036D60	thumb	sub_8036D60
0x08036EA4	thumb	sub_8036EA4
0x08036EC4	thumb	sub_8036EC4
0x08036F98	thumb	nullsub_6
0x08036F9C	thumb	sub_8036F9C
0x08037064	thumb	nullsub_7
0x08037068	thumb	sub_8037068
0x08037168	thumb	sub_8037168
0x0803719C	thumb	sub_803719C
0x08037308	thumb	sub_8037308
0x08037350	thumb	sub_8037350
0x080376BC	thumb	sub_80376BC
0x0803770C	thumb	sub_803770C
0x080377E0	thumb	nullsub_8
0x080377E4	thumb	sub_80377E4
0x080378EC	thumb	sub_80378EC
0x080378FC	thumb	sub_80378FC
0x08037A2C	thumb	sub_8037A2C
0x08037AB0	thumb	sub_8037AB0
0x08037B30	thumb	sub_8037B30
0x08037CDC	thumb	sub_8037CDC
0x08037D6C	thumb	sub_8037D6C
0x08037FD8	thumb	sub_8037FD8
0x08038200	thumb	sub_8038200
0x08038298	thumb	sub_8038298
